question,answer,image_id
what color is the blanket on the mattress,brown,image82
what is on the top of the dresser close to the red deoderant,box,image82
what is in the cartons close to the notebooks,file_holder,image93
what color is the lamp shade near the laptop on the table,red,image93
which object is made of glass and wood in this picture,display_case,image93
what color is the wall behind the laptop and lampshade,purple,image93
what colors are the sweatshirts in front of the store,"gray, blue, black",image95
how many stairs are between the front side and the back side of the store,3,image95
what colors are the mugs in the shelf,"white, black, purple, blue",image97
what are the shelves made of,glass,image97
what colors are the sweatshirts,"pink, blue, black, white",image99
how many shelves does the bookcase have on the left side of the sweatshirts,6,image99
how many steps does the step stool have,3,image104
what colors are the sticker notes on the shelves,"pink, yellow",image104
how many shelves does the bookcase have close to the step stool,7,image104
what is on the top of the monitor on the cash desk,soft_toy,image114
how many lamps are above the cash desk in this picture,2,image114
what is under the counter and behind the floor mat,radiator,image123
what is on the top of the counter between the paper cups and the paper boxes,napkin_dispenser,image123
how many blackboards are in the picture,3,image123
how many tumblers are on the counter,4,image124
what is between the white mug and the paper cups on the counter,ornamental_plant,image124
what color is the counter,"white, brown",image124
what is on the cabinet in front of the dish rack,casserole_dish,image130
how many plates are in the dish rack,2,image130
how many cabinets are above the sink and the dish rack,3,image130
what is above the oven on the wall,microwave,image136
what is in the rack on the wall,spice_bottle,image136
what is the dish on the oven made of,aluminium_foil,image136
what color is the toaster oven on the top of the cabinet,white,image139
what color is the salt shaker below the electrical outlet,red,image139
how many electrical objects are on the cabinet,2,image139
what is on the cabinet in front of the electrical kettle,vegetable_peeler,image140
what is in front of the oven rack,faucet,image140
what is between the wall and the scissor on the right side of the sink,pitcher,image140
what is on the top of the oven,"cutting_board, pot",image145
how many knobs does the oven have,4,image145
what is on the cabinet on the left side of the pot,toaster_oven,image145
what is on the top of the fan coil,book,image156
what is between the fan coil and the sofa,"tv_stand, television",image156
what color are the blinds,white,image156
what is below the light switch on the right side of the door,package_of_bottled_water,image159
what is leaning against the wall in the corridor,chair,image163
what is on the tv stand,dvds,image163
what is in the wooden tv stand,book,image164
how many bowls are on the tv stand,2,image164
what color are the towels reflected in the mirror,blue,image170
how many colors does the shower curtain have,4,image170
what is on the right side of the faucet,bottle_of_hand_wash_liquid,image170
what is the largest black object in this picture,television,image177
how many pictures are on the wall around the television,3,image177
what is the yellow object close to the faucet,dish_brush,image204
what color is the cutting board behind the dish rack,white,image204
how many electrical appliances are on the cabinet,2,image205
what is between the cabinet and the wall,refridgerator,image205
what is on the cabinet behind the roll of paper towels and the can,crock_pot,image206
how many kitchen towels are on the cabinet,2,image206
what color is the doors of the cabinets,white,image206
what is hanging from the ceiling above the table,chandelier,image223
what color is the column in the middle of the store,brown,image223
how many shelves does the cabinet with light green dishes have,4,image223
what color are the mats on the table on the left side of the picture,pink,image225
what are the circle shape objects on the table on the right side of the picture,box,image234
what kind of containers are on the dark brown wall shelves,vase,image234
how many lamps are above the cash desk,2,image234
how many vases are on the coffee table in front of the light blue armchair,2,image237
how many colors do the armchairs and their cushions have,2,image237
what colors do the stools around the table have,"blue, white",image239
what is leaning against the wall on the left side of the white cabinet,ladder,image239
what color is the chandelier hanging from the ceiling,black,image245
what color is the pipe behind the room divider,red,image245
what is in the shelf on the right side of the room,decorative_bowl,image245
how many black chairs are behind the coffee table,2,image248
what color is the dresser below the white lamp shade,white,image248
what color is the table below the black chandelier,white,image249
how many cushions are on the black sofa,2,image249
how many larg frames are on the wall,2,image249
how many rows does the spice rack have,4,image252
how many handles does the faucet have,1,image252
how many remote controls are on the tv stand,1,image259
what are the black objects on the tv stand,"television, dvd_player",image259
how many high stools are in front of the kitchen counter,2,image263
what is on the right side of the kitchen counter close to the wall,scale,image263
what color is the tablecloth,green,image263
what color is the light above the door at the end of the room,pink,image275
what is on the wall on the left side of the room,whiteboard,image275
what is the largest blue object in this picture,table,image276
how many rolling chairs are in this picture,1,image290
what color is the picture on the right side of the whiteboard,"yellow, red, orange",image290
how many plastic toy containers are below the table in front of the wall,6,image292
what is covering the wall above the cabinet,picture,image292
what colors are the garbage bins,"blue, gray",image292
what colors are the circles on the back of the chairs,"green, yellow",image294
what is on the right side of the desk on the floor,garbage_bin,image294
what is the round object at the end of the room in front of the blue boxes,globe,image308
what color is the lamp shade on the desk,red,image308
what is hanging on the hangers on the right side of the room,backpack,image309
how many lamps are on the ceiling,2,image309
which objects are used in this room to show the world,"globe, map",image309
what color are the children tshirtsg,red,image318
what color are the pencil holders on the table on the right side of the room,green,image318
what is on the brown board on the wall,paper,image318
what is the round object on the wall,clock,image336
how many computer mouses are in this picture,3,image336
what is in the corner of the wall,whiteboard,image339
what colors are the walls in this picture,"yellow, white",image339
what is the most frequent object in the room,book,image374
what is on the desk,"desk_mat, paper, book, napkin_dispenser",image374
what color is the frame in front of the bookshelf on the floor,black,image377
what color is the paper under the black frame on the floor,pink,image377
how many wall lamp shades are in the picture,1,image381
how many drawers are on the left side of the desk,10,image381
what color is the leather sofa,brown,image383
how many chairs are in front of the desk,2,image383
what is on the right side of the bookshelf,toy_house,image400
what color is the rocking chair in front of the bookshelf,white,image400
how many toy chairs are on the floor,2,image402
what color is the plastic toy container on the toy chair,blue,image402
what is the round object between the armchairs,ottoman,image403
what is behind the armchairs and ottoman,railing,image403
what is the largest blue object in this picture,water_carboy,image417
what color is the chair seat pad,black,image417
what is the purple box on the table,napkin_dispenser,image419
what color is the bed sheet,blue,image419
how many pink towels are on the pile of clothes,1,image419
what kinds of tables are in the picture,"foosball_table, toy_table",image422
how many frames are on the wall close to the window,6,image422
what is the black and white toy behind the foosball table on the floor,ball,image422
how many pairs of socks are on the toy table,1,image424
how many tape dispensers are on the cabinet below the brown board,3,image450
what color are the cabinets,brown,image450
what is on the chair back behind the counter,jacket,image453
how many pens are on the counter,2,image453
what is on the end table between the chairs,book,image478
how many four leg objects are in this picture,4,image478
what is the largest black object in this picture,sofa,image488
what color is the side table on the left side of the sofa,brown,image488
how many electrical outlets are behind the lamp shade,2,image488
how many white plastic boxes are close to the wall,3,image491
what is the white cylinder shaped object in front of the wall,water_heater,image491
what is on the floor in front of the toilet,floor_mat,image506
what is in the basket on the right side of the toilet,magazine,image506
what color is the sheet on the mattress,green,image534
how many dark blue objects are on the bed,1,image534
what is the electric appliance on the top shelf of the bookcase and close to the basket,hair_dryer,image542
which rolled object is in this room,yoga_mat,image542
how many shelves does the bookcase have,4,image542
what color is the lamp shade in front of the window,white,image546
what is on the left side of the 3 tier round table,window,image548
what color is the door frame,brown,image548
how many sculptures are on the top of the round table,2,image548
how many drawers does the filing cabinet have,4,image552
what color is the file container on the filing cabinet,white,image552
what is hanging on the cabinet above the sink,ladel,image575
what color is the window frame,blue,image575
what is the largest black object in the kitchen,dishwasher,image575
what is the white electric appliance close to the dish rack,electrical_kettle,image575
what color is the cabinet above the kitchen counter,brown,image577
how many frames are on the wall above the chair and the lamp shade,3,image588
what color is the coffee table in front of the sofa,brown,image588
what color are the candles in the candlesticks,red,image590
what is on the top of the cabinet,"candlestick, toy_dog",image590
what is the most colorful object in this picture,rug,image590
what is the object for air conditioning,fan,image595
what is on the coffee table,"paper, console_controller, remote_control",image598
how many stairs are on the right side of the stair railing,2,image601
what is the rectangular wooden object on the desk,paper_holder,image614
what is below the colorful painting on the cabinet,printer,image614
how many side chairs are on the right side of the dining table in front of the window,4,image1404
what is the white object below the reception desk on the floor,radiator,image123
what is on the right side of the bookshelf in front of the curtain,chair,image381
what is the colorful object containing white soaps on the left side of the sink,decorative_dish,image682
how many lamps are above the cash desk,3,image114
what is in front of the glass door of the dresser,book,image1061
what are the green objects between the cage and window on the floor,ornamental_plant,image1300
what is behind the pull down faucet,window_shelf,image807
what color are the stools under the table,"white, blue",image756
which wall mounted objects are on the left side of the toilet,"towel_rod, toilet_paper_holder",image705
what is on the handle of the dishwasher,kichen_towel,image848
what is the main color of the blanket on the bed,blue,image920
what is the round object in front of the blue boxes at the end of the room,globe,image308
what is the dining table made of,glass,image1440
what is in the corner of the wall,whiteboard,image339
what color is the towels reflected in the mirror,blue,image170
what is on the cabinet close to the roll of paper towels,knife_rack,image898
how many lamps are on the ceiling,3,image797
what are behind the armchairs on the left and right sides of the television,lamp,image1232
what is the gray object on the kitchen table close to the paper,spice_stand,image789
what is the round object on the wall above the television,clock,image163
how many drawers does the dresser have,6,image964
what is the name of the small appliance on the cabinet and on the left side of the pot,toaster_oven,image145
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what color is the shower curtain and drawer knobs,green,image729
what color is the dresser below the salt shaker,brown,image1342
what colors are the flower patterns on the pillows,"orange, pink",image1074
how many toy boxes are under the table close to the wall,6,image292
how many colors do the sweatshirts have,"blue, pink, black, white",image99
what is the light brown object on the left side of the cup shelf in front of the wall,ladder,image239
what kind of gym equipment is on the right side of the sofa,treadmill,image1318
what is on the left side of the bed and the belt,wardrobe,image1050
what color is the ball on the floor on the right side of the bed,red,image1185
how many frames are on the wall of the kitchen,2,image1351
what is between the sidetable and the window below the mantel,fireplace,image1225
how many chairs are around the dining table in this picture,7,image1352
which objects are in this room to show the countries,"map, globe",image309
what are the most frequent colors in this bathroom,"white, black",image742
what is close to the silver color garbage bin on the floor,garbage_bag,image877
what is above the oven on the top right of the kitchen counter,range_hood,image902
what color is the lamp shade close to the sofa in front of the curtain,white,image546
what are the silver objects on the left side of the wine bottles on the kitchen counter,candlestick,image1435
what kinds of tables are in this room,"toy_table, foosball_table",image422
what are on the brown table,"book, magazine",image1345
what is reflected on the right side of the mirror on the wall,"towel_rod, towel",image665
what is the white object at the end of the room below the pink light,door,image275
how many gray computer chairs are in front of blue chairs,1,image290
how many bathroom basins are in this picture,2,image661
how many candlesticks are on the shelf of the fireplace,2,image1380
what color is the chair base in front of the desk,red,image986
what color is the lamp shade base on the night stand on the left side of the bed,red,image982
what is the blue object on the topmost row of the bookshelf close to the basket,hair_dryer,image542
what is the largest object on the blanket,laundry_basket,image1007
what color is the bath mat,white,image730
how many red objects are on the cabinets,1,image450
what is the blue object below the foosball table on the left side of the sofa,baby_chair,image424
what is on the desk,"book, scissor, papers, tape_dispenser",image3
what is on the top the file cabinet,file_container,image552
what is between the magazines and the door,toilet,image506
what is the round object on the wall,clock,image336
what color is the blind above the left bed,purple,image1042
how many remote controls are on the tv stand,1,image259
what color is the cabinet above the kitchen counter,brown,image577
what is the colorful object on the top right of the window on the shelf,decorative_plate,image1437
what kind of glass is in the sink,wine_glass,image204
what color is the soft toy on the floor on the left side of the bed,"brown, white",image1035
what is the purple box the brown table,tissue_box,image419
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
what is on the top of the dresser close to the red deoderant,box,image82
what is the black object on the right side of the sink below the cabinet,dish_rack,image252
what color is the cooking pan on the oven,black,image892
how many frames are on the wall behind the chairs,3,image1346
which object has the striped design,lamp_shade,image1266
what is below the bedside lamp between the bed and the window,night_stand,image914
what is the brown object on the left side of the pink laundry basket,crib,image944
what is on the chair behind the reception counter,jacket,image453
how many towels are hanging on the towel rods,3,image675
what is in front of the fireplace behind the leather chair,book,image1323
what is in the corner of the wall on the left side of the bookshelf,hockey_stick,image80
how many lamps are reflected in the mirror,1,image1016
what color is the bedside lamp behind the bottle of water,black,image73
what is the gray object in front of the cabinet on the floor,step_stool,image884
which objects are for playing ping pong in this picture,"ping_pong_racket, ping_pong_table",image641
how many frames are on the wall above the lamp shade and the armchair,3,image588
what kind of table is on the right side of the room,ping_pong_table,image640
what is the white object on the floor between the toilet and the bathtub,floor_mat,image723
what is the long object in the middle of the store in front of the shelves,column,image225
how many hight stools are in front of the kitchen counter,2,image263
what is below the kitchen hood between the cabinets,oven,image882
what color are the dining chair seats,brown,image1418
what color is the table fan on the floor on the right side of the wall,black,image832
what color are the cabinets in this picture,brown,image853
what is the red object on the blanket on the left side of the night stand,pillow,image978
what is dominant color,brown,image383
how many chairs are there,6,image888
how many black chairs are there,1,image957
what is the object on the floor in the corner,lamp,image148
what is the object on the floor in front of the wall,sofa,image50
what is the object in the shelf,shoe,image72
what are the objects on the bed,"pillow, blanket",image65
what is the object on the towel rod,towel,image723
what is the object in front of the room divider left of the table,plant,image1270
what are the objects on the bed,"pillow, blanket, toy",image937
what is the object on the stool,television,image1138
what is the object close to the wall left of the mirror,shoe_rack,image1051
what is the object on the table,flower_pot,image805
what is the object on the floor below the sink,cabinet,image682
what sre the objects in the shelf,"books, printer, cream, hair_brush",image67
how many beds are there,2,image1199
what is the object on the floor behind the toilet,garbage_bin,image730
what is the object on the floor behind the table,room_divider,image22
what is the object on the floor close to the wall,ironing_board,image492
what is the object close to the counter,stove,image826
what is the largest object,refridgerator,image807
what are the objects kept on the shelves,books,image108
what is the object on the floor behind the room divider,bathtub,image696
what is the object on the floor close to the lamp,excercise_ball,image55
what is the object close to the floor,floor_mat,image494
what is the object on the sink table,tissue,image499
what is the object on the hangers,jacket,image95
how many beds are there,3,image1097
what is the object in front of the white board,ladder,image7
what are the objects close to the wall on the racks,books,image53
what are the objects on the shelves,"toy, photo",image1065
what is object on the floor left side of the cabinet,toilet,image45
what is the largest object,sofa,image601
what are the objects on the shelves that is close to the wall,cup,image100
what is the object on the floor in front of the wall,toilet,image506
what is the object on the side rack,cup,image98
what is the object on the table,television,image980
whats is the object close to the ceiling,light,image114
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is the object on the counter,coffee_machine,image872
what is the object on the floor surrounded by sofas,table,image1429
what is the object on the table,decoration_item,image1380
what is the object close to the ceiling in front of the window,projector_screen,image27
what is the object on the floor left of the table,sofa,image1351
what are the objects close to the counter,"sink, faucet",image695
what is the mat on the floor,floor_mat,image590
what is the object on the table right of the sofa,lamp,image588
what is the black object on the floor behind the table,sofa,image1231
what is the object on the floor close to the room divider,floor_mat,image683
what is object close to the wall above the sofa,picture,image50
what is the object close to the counter,stove,image892
what is the object close to the wall left of the screen,window,image911
what is the largest object on the floor,sofa,image1325
what is the object close to the wall in the shelf,microwave,image829
what is the object on the table in the corner,plant,image122
what is the object kept on the table,flower_pot,image1439
what is the object close to the wall above the counter,blackboard,image121
what are objects on the shelves,cup,image97
what is the object on the table,television,image147
what is the object close to the ceiling above the table,projector,image20
what are are the objects close to the counter,"sink, faucet",image848
what are the objects on the bed,"blanket, pillow, paper",image1168
what is the largest object,sofa,image1269
what is the object on the floor in front of the window,sofa,image1267
what is the object on the table in the corner,lamp,image988
what are the objects on the bed,"pillow, blanket, bed_sheets",image1060
what are the objects kept close on the shelves,books,image106
how many doors are there,1,image1037
what is the object below the window,heater,image138
what is the object right and left of the sofas,television,image1232
what is the object on the counter in the corner,microwave,image819
what is the object close to the table top,tablecloth,image1379
what is the object close to the wall behind the sofa,mirror,image1086
what is the object on the floor in front of the desk,chair,image528
what are the objects in the shelves,books,image1251
what is the object close to the wall,wall_decoration,image1159
what is the object on the counter below the cabinet,hot_water_heater,image140
what is the object close to the wall,wall_decoration,image149
what are the objects on the bookshelf,books,image922
what is the largest object,table,image577
what is the object on the floor left side of the sink,toilet,image44
what is the object close to the wall,spice_rack,image135
what is the object on the floor in front of the door,chair,image925
what are the object kept close on the shelves,books,image1040
how many chairs are there,2,image629
what is the object behind the screen,bathtub,image667
what is the object on the floor in the middle,floor_mat,image589
what are the objects close to the wall,"poster_board, hanger, fire_alarm, framed_certificate",image23
what is the object on the hanger,bag,image115
what is the object close to the ceiling,light,image1415
what is the object on the floor close to the wall,bathtub,image692
what are the objects on the shelves,books,image646
what is the largest object on the table,laptop,image4
what is the object close to the wall,poster_board,image450
what is the object close to the wall in front of the room divider,sink,image48
what is the object on the table in front of the wall,lamp,image1027
what is the object on the racks that are close to the wall,photo,image989
what is the largest object,sofa,image1224
what is the largest object,bed,image953
what is the object on the floor close to the counter,trolley,image109
what is the object close to the wall below the window,picture,image1161
what is the object kept close on the chair,jacket,image453
what are the objects on the floor,books,image998
what are the objects on the counter table,"stapler, tape_dispenser, paper_holder",image12
what is the largest object,bed,image1029
what is the object close to the counter,sink,image883
what is the object on the floor right of the table,trolley,image110
what is the object on the counter in the corner,toaster,image752
what is the object on the floor close to the wall,cabinet,image1403
what is the object on the floor in front of the wall,toilet,image497
what are the objects on the table,decoration_item,image1362
what is the object close to the counter,stove,image854
what is the object on the wall behind the table,poster_board,image628
what is the largest object,sofa,image1241
what is the object close to the wall right side of the t shirt,window,image1066
what is the obejct on the bed,blanket,image920
what is the object on top of the table,monitor,image485
what is the object close to the wall left of the faucet,sink,image903
how many chairs are there,4,image879
what is the largest object,sofa,image1333
how many wall decorations are close to the wall,2,image1352
what are the objects on the bed,"pillow, blanket",image541
what are the objects in the shelves,books,image51
what are the objects on the bed,"pillow, blanket",image74
what is the object on the stool,photo,image146
how many chairs are there,4,image864
what are the objects in the shelves,books,image104
how many beds are there,2,image1020
what are the objects on the bed,"pillow, blanket",image64
what are the objects on the table,"laptop, mouse, books, paper",image83
what is the object close to the wall above the table,television,image1213
what is the object on the floor in front of the wall,sofa,image1326
what are the objects on the bed,"blanket, pillow",image540
what are the objects in the shelves,books,image113
how many monitors are the,1,image13
what is the object on the table,lamp,image941
what are the objects on the table,"picture, lamp, flower_pot",image1427
what is the object close to the counter,sink,image130
what are the objects close to the wall,photo,image1173
what is the object on the bed,pillow,image940
what is the object on the counter in the corner,toaster,image874
what are the objects on the bed,"pillow, blanket",image921
what is the object on the shelves on the side rack,photo,image103
what is the largest object,table,image1357
what is the object on the floor in front of the table,garbage_bin,image496
what is the object on the floor in front of the cabinet,garbage_bin,image876
what is the object on the stool,printer,image24
what is the object on the counter below the cabinet,coffee_machine,image751
what is the object close to the counter,sink,image576
what is the object close to the wall,picture,image58
what is the object in the shelves,paper,image11
what is the object close to the wall below the window,towel_rod,image703
what is the object on the floor left of the sink,toilet,image738
what is the object on the side room divider wall,sponge,image662
what is the object in the corner on the counter,mirror,image674
what is the object on the on the wall above the sink,mirror,image721
what is the object on the floor left of the counter,whiteboard,image5
what are the objects on the table,decoration_item,image1342
what is the object close to the towel rod,towel,image659
what is the object on the table in the corner,plant,image1435
what is the object on the table,decoration_item,image1418
what is the object on the wall left and right of the window,photo,image913
what is the object on the flower in front of the wall,flower_pot,image457
what is the object on the shelf,jacket,image92
what is the largest object,bed,image909
how many stools are there,2,image105
what are the objects on the hangers,jacket,image116
what is the object on the floor left of the sink,toilet,image503
what are the objects on the bed,"pillow, blanket, book",image1036
what is the object on the floor left and right of the chairs,table,image828
what is the object in the image912 close to the wall,television,image912
what is the largest object,sofa,image1252
what are the objects on the hangers,jacket,image96
what is the object close to the wall,photo,image1026
what is the object behind the screen,bathtub,image649
how many chairs are there,4,image1383
what is the object on the floor,stool,image735
what is the object close to the counter,sink,image896
what is the object on the floor left of the counter,ladder,image884
what is the object behind the chair close to the wall,green_screen,image8
what is the largest black object,sofa,image1187
how many pictures are there close to the wall,3,image1440
what is the object on the counter close to the side wall,printer,image25
what are the objects on the counter,"hot_water_heater, microwave, bowl, bread, spoon",image139
what is the object on the floor in front of the counter,chair,image880
how many sofas are there,3,image630
what is object on the floor right of the table,bag,image1069
what is the object close to the ceiling above the table,projector,image19
how many chairs are there,8,image6
what is the object on the table,jacket,image120
what is the largest object,chair,image536
what is the wall decoration close to the wall,picture,image1322
what is the object kept close inside the sink,vessel,image143
what is object close to the wall,wall_decoration,image73
how many pillows are there,2,image1133
what is the blue object on the bed,blanket,image1172
what are the objects on the bed,"pillow, blanket",image914
what are the objects on the shelf,books,image979
what are the objects on the bed,"pillow, blanket",image1141
what is the object behind the table close to the wall,window,image596
what is the object close to the wall,poster_board,image614
what is the object on the hangers,jacket,image94
what is the object close to the wall behind the table,heater,image1312
what is the object close to the wall above the table,television,image643
what is the object close to the wall above the table,whiteboard,image986
how many chairs are there,4,image900
what is object on the floor mat,table,image1242
what is the object on the floor right of the screen,bathtub,image501
what is largest machine,printer,image10
what is the object on the side table,telephone,image1068
what is the object close to the wall above the cabinet,mirror,image923
what is the object on the wall above the counter,blackboard,image123
what is the largest object,bed,image1014
what is the object in the shelves,towel,image715
what is the object on the floor in front of the wall,bed,image987
what is the object on the table left of the sofa,plant,image1245
what is the object on the shelves,cup,image102
how many monitors are there on the table,3,image112
what are the object on the side table,"lamp, flower_pot",image487
how many chairs are there,3,image467
what is the object behind the sink,room_divider,image49
what are the objects on the table,"lamp, tray, decoration_item",image1358
what is the object close to the wall,wall_decoration,image1274
what are the objects on the table,"laptop, books, headphones",image54
what is the object on the floor in front of the room divider,bathtub,image737
what is the object on the floor in front of the wall,bed,image1169
what are the objects on the boxes,books,image93
what is the object on the table,television,image68
what is the object on the floor in front of the table,chair,image1324
what is the object close to the wall,photo,image1019
what is the object close to the wall above the stove,microwave,image145
what is the object on the floor close to the cabinet,basket,image543
what are the clothes on the bed,jacket,image70
what is the object close to the refrigerator,magnet,image575
what is the object close to the door,door_knob,image648
what is the object on the floor in front of the wall,cabinet,image1055
what is the object on the floor right of the shelves,garbage_bin,image990
how many chairs are there,7,image1382
what is the obejct below the window close to the wall,heater,image80
what is the object close to the floor,bathtub,image736
what is the object on the counter in front of the colored wall,microwave,image793
what is the object on the table,fruit,image1419
what is the object in front of the wall below the cabinet,stove,image141
what is the object close to the wall behind the table,picture,image1373
what are the objects on the shelves,books,image111
what is the object above the counter,mirror,image720
what is the object inside the cabinet,clothes,image530
what are the objects on the table,books,image1283
what is object on the floor in front of the table,chair,image552
what are the objects on the table,"lamp, fan, book, wire",image931
how many beds are there,2,image1200
what are the objects on the table,"lamp, books, perfume, cream",image66
what is the largest object,table,image1344
what is the object on the towel rod,towel,image705
how many chairs are there,7,image1341
what is the object on the stool,television,image602
what is the largest object,sofa,image486
what is the object on the floor in front of the wall,cabinet,image1043
what is the object hung close to the door knob,bag,image150
what is the object right of the stove close to the wall,refridgerator,image831
what is the object on the shelves,cup,image101
what is the object on the floor left of the window,stool,image1273
what is the object on the floor in front of the wall,cabinet,image75
what is the largest object,table,image1377
what is the object on the bed,blanket,image1105
what is the close to the ceiling in front of the window,projector_screen,image26
what is the object hung close to the hangers,jacket,image99
what is the object above the stove close to the wall,microwave,image144
what are the objects on the shelf,"books, toy, hair_brush",image69
what is the object close to the wall,wall_decoration,image572
what is the object on the floor right of the table,lamp,image52
what is the object close to the wall above the counter,blackboard,image124
what are objects on top of the table,"paper, book, tape, paper_cutter",image3
what is object placed on left of the table,telephone,image3
what is the object on the right of the table and in front of the door,chair,image3
how many doors are open,1,image3
what is the largest object that is placed on the table,laptop,image4
what is the object hung close to the wall,picture,image4
what is the object in front of the table,chair,image4
how many bottles are there,14,image4
what is the object that is on the left of the counter and right of the stack of chairs,whiteboard,image5
what is the largest object,table,image5
what is the object stuck close to the door,sheet,image5
how many chairs are there,4,image5
what are the objects that are wired close to the ceiling,spot_light,image5
how many chairs are there,7,image6
what is the object placed close to the floor to the right of the stand,speaker,image6
what is the object that is placed on the middle rack of the stand that is placed closed to the wall,projector,image6
what are the two long objects that are rested close to the table on the right side of the chair,wooden_planks,image6
what are the objects that are placed on the shelves,"monitor, mouse, keyboard",image6
what is the white object that is placed close to the wall and to the left of the shelves,projector_screen,image7
what is the red object that is standing on the floor in front of the projector screen,ladder,image7
how many monitors are switched on,1,image7
how many chairs are there in the room with writing flipboard attached close to it,3,image7
what are the connecting objects between the spot light that are close to the wall,wire,image7
what is the object to which the round clock is hung on,wall,image8
what is the object behind the gray garbage can that is attached on the wall,fire_extinguisher,image8
how many garbage bins are not blue in color,1,image8
what is the object in front of the bright green curtain,chair,image8
what is the object on telephone cord attached,telephone,image8
what is the object in front of the photocopying machine attached close to the wall,shelves,image10
what is the object on which the fax machine is placed,counter,image10
what are the sheets stuck to the door,paper,image10
what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10
